accepted_taxon_key,search_species,gbif_species,status,match_type,rank,confidence,genus,family,order,source
-1,Cyrtogramme melagynalis,NotAvail,NotAvail,NONE,NotAvail,100,Cyrtogramme,Crambidae,Lepidoptera,uksi_09May2022
-1,Mythimna obsoleta Hb.,NotAvail,ACCEPTED,HIGHERRANK,GENUS,98,Mythimna,Noctuidae,Lepidoptera,denmark_Dec2022
1730978,Zeuzera pyrina,Zeuzera pyrina,ACCEPTED,EXACT,SPECIES,99,Zeuzera,Cossidae,Lepidoptera,uksi_09May2022 denmark_Dec2022 quebec_vermont
1731598,Phragmataecia castaneae,Phragmataecia castaneae,ACCEPTED,EXACT,SPECIES,99,Phragmataecia,Cossidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1731820,Eriocrania sangii,Eriocrania sangii,ACCEPTED,EXACT,SPECIES,99,Eriocrania,Eriocraniidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1731826,Eriocrania semipurpurella,Eriocrania semipurpurella,ACCEPTED,EXACT,SPECIES,99,Eriocrania,Eriocraniidae,Lepidoptera,uksi_09May2022 denmark_Dec2022 quebec_vermont
1731832,Eriocrania chrysolepidella Zell.,Eriocrania chrysolepidella,ACCEPTED,EXACT,SPECIES,99,Eriocrania,Eriocraniidae,Lepidoptera,denmark_Dec2022
1731834,Eriocrania salopiella,Eriocrania salopiella,ACCEPTED,EXACT,SPECIES,99,Eriocrania,Eriocraniidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1731837,Eriocrania cicatricella,Eriocrania sparrmannella,SYNONYM,EXACT,SPECIES,99,Eriocrania,Eriocraniidae,Lepidoptera,uksi_09May2022 denmark_Dec2022 denmark_Dec2022
1731858,Eriocrania unimaculella,Heringocrania unimaculella,SYNONYM,EXACT,SPECIES,99,Heringocrania,Eriocraniidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1731860,Dyseriocrania subpurpurella,Dyseriocrania subpurpurella,ACCEPTED,EXACT,SPECIES,99,Dyseriocrania,Eriocraniidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1732063,Poecilocampa populi,Poecilocampa populi,ACCEPTED,EXACT,SPECIES,99,Poecilocampa,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1732416,Macrothylacia rubi,Macrothylacia rubi,ACCEPTED,EXACT,SPECIES,99,Macrothylacia,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1732452,Trichiura crataegi,Trichiura crataegi,ACCEPTED,EXACT,SPECIES,99,Trichiura,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1732521,Gastropacha populifolia D.& S.,Gastropacha populifolia,ACCEPTED,EXACT,SPECIES,99,Gastropacha,Lasiocampidae,Lepidoptera,denmark_Dec2022
1732565,Gastropacha quercifolia,Gastropacha quercifolia,ACCEPTED,EXACT,SPECIES,99,Gastropacha,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1732662,Phyllodesma ilicifolia,Phyllodesma ilicifolia,ACCEPTED,EXACT,SPECIES,98,Phyllodesma,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1733484,Dendrolimus pini,Dendrolimus pini,ACCEPTED,EXACT,SPECIES,99,Dendrolimus,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1734453,Euthrix potatoria,Euthrix potatoria,ACCEPTED,EXACT,SPECIES,99,Euthrix,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1734704,Lasiocampa trifolii,Lasiocampa trifolii,ACCEPTED,EXACT,SPECIES,99,Lasiocampa,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1734826,Lasiocampa quercus,Lasiocampa quercus,ACCEPTED,EXACT,SPECIES,99,Lasiocampa,Lasiocampidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1735522,Opostega spatulella,Opostega spatulella,ACCEPTED,EXACT,SPECIES,99,Opostega,Opostegidae,Lepidoptera,uksi_09May2022
1735532,Opostega salaciella,Opostega salaciella,ACCEPTED,EXACT,SPECIES,98,Opostega,Opostegidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1735818,Ectoedemia intimella,Ectoedemia intimella,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1735823,Ectoedemia arcuatella,Ectoedemia arcuatella,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1735827,Ectoedemia quinquella,Ectoedemia quinquella,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022
1735839,Ectoedemia atricollis,Ectoedemia atricollis,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1735844,Ectoedemia albifasciella,Ectoedemia albifasciella,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1735847,Ectoedemia angulifasciella,Ectoedemia angulifasciella,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1735850,Ectoedemia argyropeza,Ectoedemia argyropeza,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022 denmark_Dec2022 quebec_vermont
1735855,Ectoedemia subbimaculella,Ectoedemia subbimaculella,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1735861,Ectoedemia agrimoniae,Ectoedemia agrimoniae,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022
1735864,Ectoedemia rubivora,Ectoedemia rubivora,ACCEPTED,EXACT,SPECIES,98,Ectoedemia,Nepticulidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736377,Lozotaenia forsterana,Lozotaenia forsterana,ACCEPTED,EXACT,SPECIES,99,Lozotaenia,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736411,Strophedra weirana,Strophedra weirana,ACCEPTED,EXACT,SPECIES,99,Strophedra,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736412,Strophedra nitidana,Strophedra nitidana,ACCEPTED,EXACT,SPECIES,99,Strophedra,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736425,Spatalistis bifasciana,Spatalistis bifasciana,ACCEPTED,EXACT,SPECIES,99,Spatalistis,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736447,Lozotaeniodes formosana,Lozotaeniodes formosana,ACCEPTED,EXACT,SPECIES,99,Lozotaeniodes,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736484,Cydia discretana Wcke.,Grapholita discretana,SYNONYM,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,denmark_Dec2022
1736485,Grapholita lobarzewskii,Grapholita lobarzewskii,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022
1736504,Grapholita gemmiferana,Grapholita gemmiferana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022
1736511,Grapholita jungiella,Grapholita jungiella,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736512,Grapholita tenebrosana,Grapholita tenebrosana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736514,Grapholita internana,Grapholita internana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022
1736528,Grapholita funebrana,Grapholita funebrana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736529,Grapholita pallifrontana,Grapholita pallifrontana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736530,Grapholita lunulana,Grapholita lunulana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736560,Grapholita orobana,Grapholita orobana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736565,Grapholita janthinana,Grapholita janthinana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736567,Grapholita caecana,Grapholita caecana,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022
1736570,Cydia andabatana Wolff,Grapholita andabatana,SYNONYM,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,denmark_Dec2022
1736574,Grapholita molesta,Grapholita molesta,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 quebec_vermont
1736601,Grapholita compositella,Grapholita compositella,ACCEPTED,EXACT,SPECIES,99,Grapholita,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736623,Crocidosema plebejana,Crocidosema plebejana,ACCEPTED,EXACT,SPECIES,99,Crocidosema,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736727,Gravitarmata margarotana,Gravitarmata margarotana,ACCEPTED,EXACT,SPECIES,99,Gravitarmata,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736800,Lathronympha strigana,Lathronympha strigana,ACCEPTED,EXACT,SPECIES,99,Lathronympha,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736898,Gypsonoma sociana,Gypsonoma sociana,ACCEPTED,EXACT,SPECIES,99,Gypsonoma,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736904,Gypsonoma dealbana,Gypsonoma dealbana,ACCEPTED,EXACT,SPECIES,99,Gypsonoma,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736905,Gypsonoma minutana,Gypsonoma minutana,ACCEPTED,EXACT,SPECIES,99,Gypsonoma,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736906,Gypsonoma aceriana,Gypsonoma aceriana,ACCEPTED,EXACT,SPECIES,99,Gypsonoma,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1736945,Gypsonoma oppressana,Gypsonoma oppressana,ACCEPTED,EXACT,SPECIES,99,Gypsonoma,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737131,Epiphyas postvittana,Epiphyas postvittana,ACCEPTED,EXACT,SPECIES,99,Epiphyas,Tortricidae,Lepidoptera,uksi_09May2022
1737342,Clepsis senecionana,Clepsis senecionana,ACCEPTED,EXACT,SPECIES,99,Clepsis,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737368,Clepsis pallidana F.,Clepsis pallidana,ACCEPTED,EXACT,SPECIES,99,Clepsis,Tortricidae,Lepidoptera,denmark_Dec2022
1737374,Clepsis melaleucanus,Clepsis melaleucanus,ACCEPTED,EXACT,SPECIES,99,Clepsis,Tortricidae,Lepidoptera,uksi_09May2022 quebec_vermont
1737437,Clepsis dumicolana,Clepsis dumicolana,ACCEPTED,EXACT,SPECIES,99,Clepsis,Tortricidae,Lepidoptera,uksi_09May2022
1737491,Clepsis spectrana,Clepsis spectrana,ACCEPTED,EXACT,SPECIES,99,Clepsis,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022 quebec_vermont
1737497,Clepsis rurinana,Clepsis rurinana,ACCEPTED,EXACT,SPECIES,99,Clepsis,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737502,Clepsis trileucana,Clepsis trileucana,ACCEPTED,EXACT,SPECIES,99,Clepsis,Tortricidae,Lepidoptera,uksi_09May2022
1737509,Clepsis coriacana,Clepsis coriacana,ACCEPTED,EXACT,SPECIES,99,Clepsis,Tortricidae,Lepidoptera,uksi_09May2022
1737524,Hedya pruniana,Hedya pruniana,ACCEPTED,EXACT,SPECIES,99,Hedya,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737526,Hedya nubiferana,Hedya nubiferana,ACCEPTED,EXACT,SPECIES,99,Hedya,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022 quebec_vermont
1737533,Hedya dimidiana Cl.,Hedya dimidiana,ACCEPTED,EXACT,SPECIES,98,Hedya,Tortricidae,Lepidoptera,denmark_Dec2022
1737542,Hedya salicella,Hedya salicella,ACCEPTED,EXACT,SPECIES,99,Hedya,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737552,Hedya ochroleucana,Hedya ochroleucana,ACCEPTED,EXACT,SPECIES,99,Hedya,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022 quebec_vermont
1737650,Pseudohermenias abietana F.,Pseudohermenias hercyniana,SYNONYM,EXACT,SPECIES,99,Pseudohermenias,Tortricidae,Lepidoptera,denmark_Dec2022
1737702,Cydia medicaginis,Cydia medicaginis,ACCEPTED,EXACT,SPECIES,99,Cydia,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737753,Cydia nigricana,Cydia nigricana,ACCEPTED,EXACT,SPECIES,99,Cydia,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022 quebec_vermont
1737761,Cydia illutana,Cydia illutana,ACCEPTED,EXACT,SPECIES,99,Cydia,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737770,Cydia coniferana,Cydia coniferana,ACCEPTED,EXACT,SPECIES,98,Cydia,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737775,Cydia splendana,Cydia splendana,ACCEPTED,EXACT,SPECIES,99,Cydia,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
1737776,Cydia fagiglandana,Cydia fagiglandana,ACCEPTED,EXACT,SPECIES,99,Cydia,Tortricidae,Lepidoptera,uksi_09May2022 denmark_Dec2022
